created_at,tweet_id,name,screen_name,retweet_count,text,mined_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
2020-11-14 17:29:51,1327665058785083394,Arizona Republican Party,AZGOP,83,"RT @merissahamilton: ARROGANCE 

@RecorderFontes was hired under his promise to fix operational and integrity election issues

Instead he
🚫…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"ARROGANCE 

@RecorderFontes was hired under his promise to fix operational and integrity election issues

Instead he
🚫Destabilized elections
🚫Broke laws multiple times
🚫Chastised by the courts
🚫Gave us corrupt DOMINION
🚫Collapsed voter trust

His response:
You're welcome https://t.co/MBdLjqiSPq",None,None
2020-11-14 17:30:08,1327665130851561472,Arizona Republican Party,AZGOP,1685,"RT @KatrinaPierson: We see you, America 🇺🇸 #MarchForTrump https://t.co/KrPniDY4db",2021-03-01 21:20:55.084568,0,"[{'text': 'MarchForTrump', 'indices': [43, 57]}]",22075,,Twitter for iPhone,"We see you, America 🇺🇸 #MarchForTrump https://t.co/KrPniDY4db",None,None
2020-11-14 17:30:23,1327665194722422784,Arizona Republican Party,AZGOP,10392,"RT @Mike_Pence: “I promise you: We will keep fighting until every legal vote is counted, until every illegal vote is thrown out, and we wil…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"“I promise you: We will keep fighting until every legal vote is counted, until every illegal vote is thrown out, and we will never stop fighting to make America great again.” https://t.co/7Z4USAPtTF",None,None
2020-11-14 17:30:52,1327665313798754304,Arizona Republican Party,AZGOP,8,RT @VinceLeach: Trump rallies In DC Just beginning! https://t.co/1pI0KMGPhv,2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,Trump rallies In DC Just beginning! https://t.co/1pI0KMGPhv,None,None
2020-11-14 17:31:47,1327665543336271873,Arizona Republican Party,AZGOP,19,"RT @amerdailyindy: Trump Will Not Concede To Biden, Continues Fight For Arizona: https://t.co/aeU2gmiQwx",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"Trump Will Not Concede To Biden, Continues Fight For Arizona: https://t.co/aeU2gmiQwx",None,None
2020-11-14 17:37:13,1327666912268992512,Arizona Republican Party,AZGOP,33,"RT @LawEnforceToday: If there's nothing to hide, why not conduct the investigation and show that everything was legitimate?

https://t.co/k…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"If there's nothing to hide, why not conduct the investigation and show that everything was legitimate?

https://t.co/kVDBZzFiCx",None,None
2020-11-14 17:37:41,1327667029436817408,Arizona Republican Party,AZGOP,23,RT @FannKfann: https://t.co/CUCqaD6PdA,2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,https://t.co/CUCqaD6PdA,None,None
2020-11-14 17:48:34,1327669770074824709,Arizona Republican Party,AZGOP,1518,"RT @thechrisbuskirk: 🚨Live form Pro-Trump March in DC today

 #MAGAMarchDC https://t.co/9AJNuwMFPg",2021-03-01 21:20:55.084568,0,"[{'text': 'MAGAMarchDC', 'indices': [62, 74]}]",22075,,Twitter for iPhone,"🚨Live form Pro-Trump March in DC today

 #MAGAMarchDC https://t.co/9AJNuwMFPg",None,None
2020-11-14 17:50:28,1327670247122354176,Arizona Republican Party,AZGOP,4927,RT @KatrinaPierson: Reminds me of the #TeaParty 😏#MarchForTrump 🇺🇸 https://t.co/RJJS67CDbD,2021-03-01 21:20:55.084568,0,"[{'text': 'TeaParty', 'indices': [38, 47]}, {'text': 'MarchForTrump', 'indices': [49, 63]}]",22075,,Twitter for iPhone,Reminds me of the #TeaParty 😏#MarchForTrump 🇺🇸 https://t.co/RJJS67CDbD,None,None
2020-11-14 20:02:37,1327703504161411073,Arizona Republican Party,AZGOP,22134,RT @EricTrump: 🇺🇸🇺🇸🇺🇸 https://t.co/RUWgRZtjqh,2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,🇺🇸🇺🇸🇺🇸 https://t.co/RUWgRZtjqh,None,None
2020-11-14 20:26:14,1327709448412962816,Arizona Republican Party,AZGOP,2636,RT @KatrinaPierson: For the love of God and our country #MarchForTrump 🇺🇸 https://t.co/i6yLHPOAlg,2021-03-01 21:20:55.084568,0,"[{'text': 'MarchForTrump', 'indices': [56, 70]}]",22075,,Twitter for iPhone,For the love of God and our country #MarchForTrump 🇺🇸 https://t.co/i6yLHPOAlg,None,None
2020-11-15 02:15:30,1327797341059891201,Arizona Republican Party,AZGOP,1901,"RT @DrPaulGosar: The chairman of the Maricopa County supervisors, Mr. Hickman (a good man) has the power to issue subpoenas (after a board…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"The chairman of the Maricopa County supervisors, Mr. Hickman (a good man) has the power to issue subpoenas (after a board vote)  to compel Dominion reps to open the software for a full forensic audit by county IT staff. ARS 11-228. @AZGOP @kelliwardaz https://t.co/J8faBYpDfl",None,None
