,Datetime,Tweet Id,Text,Username
50,2021-01-17 05:30:49+00:00,1350676930199126016,One hour later... still no comment from @12News. Do they believe “America First” is a Nazi saying? Yes/No - we’re making this one easy. @NBCNews @comcast,AZGOP
51,2021-01-17 05:19:28+00:00,1350674075245400064,"Disgusting. @12News and their producer, @HunterBassler, are doubling down on tying President Trump’s #AmericaFirst slogan to a Nazi saying. Public statement! https://t.co/G0arzFJzzP",AZGOP
52,2021-01-17 05:10:44+00:00,1350671876704542722,And so begins the silent game. Delete and hide - that’s how the media operates. Not this time. Does @12News believe their Republican viewers are Nazis if they support President Trump’s America First agenda? Waiting for a public statement. @NBCNews @comcast,AZGOP
53,2021-01-17 05:05:33+00:00,1350670572917649412,Cc @NBCNews @Comcast,AZGOP
54,2021-01-17 05:00:32+00:00,1350669312164413441,"Dear @nbc, do you agree with your Phoenix affiliate @12News that “America First” is a Nazi saying?",AZGOP
55,2021-01-17 04:34:27+00:00,1350662747491450881,A producer for the local @nbc affiliate in Phoenix has likened President Trump’s “America First” slogan to a saying made by Nazis. @12News re-tweeted his tweet. This disgusting and false attack by the media will not be tolerated. Delete immediately: @HunterBassler @brahmresnik. https://t.co/gcfhCqVBXO,AZGOP
56,2021-01-16 18:15:11+00:00,1350506902149423104,"“Political suicide” is such a powerful phrase, but is there anything worse than poking your constituents in the eye and telling them their concerns don’t matter? Challenging times ahead for politicians who don’t stand up for #ElectionIntegrity! The civil rights issue of our time.",AZGOP
57,2021-01-16 17:44:45+00:00,1350499243165794309,"It’s Saturday, January 16th 2021, and the Maricopa Board of Supervisors still have not audited the vote.",AZGOP
58,2021-01-16 17:34:34+00:00,1350496682853629953,"January 20th doesn’t end the fight for election integrity, transparency, and democracy!",AZGOP
59,2021-01-16 17:12:20+00:00,1350491087329087488,"The @AZGOP &amp; @kelliwardaz successfully found a 3% vote deviation from Trump to Biden! But the judge said “oops, ran out of time - no more discovery for you.” The Maricopa Board of Supervisors could put all this to rest but they want to resist. Let’s #AuditTheVote &amp; move on, OK?",AZGOP
60,2021-01-16 16:23:48+00:00,1350478873201307650,"The vicious fake news really has its claws out today for our Republican Party of Arizona. They want to return to ""business as usual"" - which worked out so well in 2008 and 2012, right? We will never apologize for standing up for election integrity and transparency! #AmericaFirst",AZGOP
61,2021-01-16 05:52:12+00:00,1350319924938358785,“@ProjectLincoln reportedly scrubs co-founder from website amid allegations he groomed young men for sex” And he pretended to represent the party of Lincoln? No way! https://t.co/GPAfCsE1pk,AZGOP
